date,time,origin,destination,total_count
2018-02-2,11:00:00,AM,BK,84
2018-02-2,11:00:00,AM,BL,40
2018-02-2,11:00:00,AM,BM,309
2018-02-2,11:00:00,AM,BP,76
2018-02-2,11:00:00,AM,BS,1150
2018-02-2,11:00:00,AM,BT,128
2018-02-2,11:00:00,AM,CC,45
2018-02-2,11:00:00,AM,CH,72
2018-02-2,11:00:00,AM,CK,89
2018-02-2,11:00:00,AM,CL,73
2018-02-2,11:00:00,AM,DT,419
2018-02-2,11:00:00,AM,GL,320
2018-02-2,11:00:00,AM,HG,486
2018-02-2,11:00:00,AM,JE,116
2018-02-2,11:00:00,AM,JW,95
2018-02-2,11:00:00,AM,KL,296
2018-02-2,11:00:00,AM,LK,40
2018-02-2,11:00:00,AM,MD,40
2018-02-2,11:00:00,AM,MP,45
2018-02-2,11:00:00,AM,MS,40
2018-02-2,11:00:00,AM,MU,131
2018-02-2,11:00:00,AM,NE,40
2018-02-2,11:00:00,AM,NT,72
2018-02-2,11:00:00,AM,NV,355
2018-02-2,11:00:00,AM,OR,432
2018-02-2,11:00:00,AM,OT,174
2018-02-2,11:00:00,AM,PG,128
2018-02-2,11:00:00,AM,PL,40
2018-02-2,11:00:00,AM,PN,40
2018-02-2,11:00:00,AM,PR,72
2018-02-2,11:00:00,AM,QT,211
2018-02-2,11:00:00,AM,RC,238
2018-02-2,11:00:00,AM,RV,40
2018-02-2,11:00:00,AM,SB,174
2018-02-2,11:00:00,AM,SE,468
2018-02-2,11:00:00,AM,SG,1377
2018-02-2,11:00:00,AM,SI,40
2018-02-2,11:00:00,AM,SK,40
2018-02-2,11:00:00,AM,SL,45
2018-02-2,11:00:00,AM,SM,40
2018-02-2,11:00:00,AM,SR,88
2018-02-2,11:00:00,AM,TM,227
2018-02-2,11:00:00,AM,TN,53
2018-02-2,11:00:00,AM,TP,396
2018-02-2,11:00:00,AM,TS,40
2018-02-2,11:00:00,AM,WC,40
2018-02-2,11:00:00,AM,WD,279
2018-02-2,11:00:00,AM,WI,40
2018-02-2,11:00:00,AM,YS,716
2018-02-2,12:00:00,AM,AM,6529
2018-02-2,12:00:00,AM,BD,209
2018-02-2,12:00:00,AM,BK,97
2018-02-2,12:00:00,AM,BL,40
2018-02-2,12:00:00,AM,BM,284
2018-02-2,12:00:00,AM,BP,43
2018-02-2,12:00:00,AM,BS,1242
2018-02-2,12:00:00,AM,BT,112
2018-02-2,12:00:00,AM,CB,40
2018-02-2,12:00:00,AM,CC,40
2018-02-2,12:00:00,AM,CH,69
2018-02-2,12:00:00,AM,CK,68
2018-02-2,12:00:00,AM,CL,63
2018-02-2,12:00:00,AM,DT,370
2018-02-2,12:00:00,AM,GL,290
2018-02-2,12:00:00,AM,HG,570
2018-02-2,12:00:00,AM,JE,109
2018-02-2,12:00:00,AM,JW,108
2018-02-2,12:00:00,AM,KL,329
2018-02-2,12:00:00,AM,LK,40
2018-02-2,12:00:00,AM,MD,40
2018-02-2,12:00:00,AM,ME,40
2018-02-2,12:00:00,AM,MP,65
2018-02-2,12:00:00,AM,MS,40
2018-02-2,12:00:00,AM,MU,45
2018-02-2,12:00:00,AM,NA,40
2018-02-2,12:00:00,AM,NT,55
2018-02-2,12:00:00,AM,NV,375
2018-02-2,12:00:00,AM,OR,254
2018-02-2,12:00:00,AM,OT,134
2018-02-2,12:00:00,AM,PG,162
2018-02-2,12:00:00,AM,PL,40
2018-02-2,12:00:00,AM,PN,68
2018-02-2,12:00:00,AM,PR,96
2018-02-2,12:00:00,AM,QT,213
2018-02-2,12:00:00,AM,RC,211
2018-02-2,12:00:00,AM,RV,40
2018-02-2,12:00:00,AM,SB,194
2018-02-2,12:00:00,AM,SE,520
2018-02-2,12:00:00,AM,SG,1481
2018-02-2,12:00:00,AM,SI,40
2018-02-2,12:00:00,AM,SK,40
2018-02-2,12:00:00,AM,SL,69
2018-02-2,12:00:00,AM,SM,40
2018-02-2,12:00:00,AM,SR,65
2018-02-2,12:00:00,AM,SV,40
2018-02-2,12:00:00,AM,TH,40
2018-02-2,12:00:00,AM,TM,198
