,date,time,origin,origin_name,origin_lon,origin_lat,destination,dest_name,dest_lon,dest_lat,total_count,key,driving,public,ratio,difference
17741,2/2/18,0:00:00,SG,SERANGOON,103.86782,1.3652,HG,HOUGANG,103.8898,1.36364,259,SGHG,6,24,4.00,18
17765,2/2/18,0:00:00,SG,SERANGOON,103.86782,1.3652,SE,SENGKANG,103.8877,1.39127,74,SGSE,15,40,2.67,25
17789,2/2/18,0:00:00,SG,SERANGOON,103.86782,1.3652,TP,TOA PAYOH,103.86106,1.33668,88,SGTP,10,33,3.30,23
18315,2/2/18,0:00:00,SI,SOUTHERN ISLANDS,103.83581,1.24299,BM,BUKIT MERAH,103.82311,1.27548,70,SIBM,10,32,3.20,22
18522,2/2/18,0:00:00,SK,SUNGEI KADUT,103.75747,1.41807,CK,CHOA CHU KANG,103.74719,1.38555,76,SKCK,11,34,3.09,23
18912,2/2/18,0:00:00,SL,SELETAR,103.87709,1.41434,PG,PUNGGOL,103.91004,1.40536,72,SLPG,9,48,5.33,39
18936,2/2/18,0:00:00,SL,SELETAR,103.87709,1.41434,SE,SENGKANG,103.8877,1.39127,50,SLSE,12,40,3.33,28
19065,2/2/18,0:00:00,SR,SINGAPORE RIVER,103.84121,1.29011,BM,BUKIT MERAH,103.82311,1.27548,42,SRBM,8,31,3.88,23
19088,2/2/18,0:00:00,SR,SINGAPORE RIVER,103.84121,1.29011,DT,DOWNTOWN CORE,103.8543,1.28508,59,SRDT,6,22,3.67,16
19111,2/2/18,0:00:00,SR,SINGAPORE RIVER,103.84121,1.29011,KL,KALLANG,103.86643,1.31033,47,SRKL,14,29,2.07,15
19495,2/2/18,0:00:00,SV,STRAITS VIEW,103.85878,1.27124,DT,DOWNTOWN CORE,103.8543,1.28508,49,SVDT,6,14,2.33,8
19517,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,BD,BEDOK,103.92841,1.32405,312,TMBD,10,30,3.00,20
19541,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,CH,CHANGI,103.99782,1.35081,104,TMCH,10,56,5.60,46
19565,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,GL,GEYLANG,103.88953,1.3209,51,TMGL,15,37,2.47,22
19589,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,HG,HOUGANG,103.8898,1.36364,41,TMHG,18,55,3.06,37
19611,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,PL,PAYA LEBAR,103.91477,1.35939,53,TMPL,14,61,4.36,47
19635,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,PR,PASIR RIS,103.9483,1.37862,170,TMPR,12,32,2.67,20
19659,2/2/18,0:00:00,TM,TAMPINES,103.95422,1.34373,SE,SENGKANG,103.8877,1.39127,41,TMSE,20,62,3.10,42
20211,2/2/18,0:00:00,TN,TANGLIN,103.8175,1.30828,BT,BUKIT TIMAH,103.79069,1.32999,70,TNBT,7,31,4.43,24
20235,2/2/18,0:00:00,TN,TANGLIN,103.8175,1.30828,OR,ORCHARD,103.83358,1.30381,41,TNOR,8,25,3.13,17
20258,2/2/18,0:00:00,TN,TANGLIN,103.8175,1.30828,QT,QUEENSTOWN,103.78434,1.28916,73,TNQT,11,38,3.45,27
20699,2/2/18,0:00:00,TP,TOA PAYOH,103.86106,1.33668,BS,BISHAN,103.84042,1.35496,139,TPBS,9,29,3.22,20
20723,2/2/18,0:00:00,TP,TOA PAYOH,103.86106,1.33668,GL,GEYLANG,103.88953,1.3209,59,TPGL,12,46,3.83,34
20747,2/2/18,0:00:00,TP,TOA PAYOH,103.86106,1.33668,HG,HOUGANG,103.8898,1.36364,46,TPHG,11,40,3.64,29
